Feature,RF_Importance,XGB_Importance,CAT_Importance,LGBM_Importance,Avg_Importance
unique_customers_diff_roll_mean_3m,0.005086423370363691,0.0015074272,0.28728550324677093,3,0.8234698384528226
ANBP_value_roll_std_6m,0.005349834659441901,0.0055305576,0.2664072934486812,3,0.8193219214258292
unique_quotations_roll_mean_3m,0.00416667056209828,0.0025625988,0.21811576545600547,3,0.8062112587022693
unique_customers_roll_sum_12m,0.003935768090108149,0.009941637,0.17244889755606704,3,0.7965815755577186
inter_age_x_hist_avg_policies,0.003813383730112239,0.0037977004,0.11055796568932867,3,0.7795422624538121
unique_quotations_roll_median_6m,0.006756093675144154,0.00524987,0.22005903997592566,2,0.5580162509151976
unique_customers_diff_lag1,0.007443648063176495,0.0021406992,0.18002365224648126,2,0.5474019998742379
unique_customers_roll_sum_6m,0.0037559230995331924,0.0035331885,0.1687852954692857,2,0.5440186017638227
hist_avg_policies_calc,0.0039750035448771984,0.004873734,0.1310697108303434,2,0.5349796120856908
net_income_lag_2,0.0048889972339327264,0.00517785,0.0881566877156401,2,0.5245558837133188
unique_quotations_roll_std_3m,0.00480385848536275,0.003986507,0.3501351239532083,1,0.339731372406775
unique_quotations,0.012798996941044801,0.005737366,0.31462549733193446,1,0.33329046510694227
unique_quotations_lag_1,0.01013802656758472,0.0042927377,0.3173895183834947,1,0.3329550706609185
new_policy_count_diff_lag1,0.0042933668321954695,0.0027464223,0.29407915436393073,1,0.32527973587638864
new_policy_count_lag_1,0.006116875365999268,0.008435114,0.2043841940376281,1,0.3047340459226168
ANBP_value_lag_2,0.004723917070570603,0.0047527426,0.18174209421276147,1,0.29780468846889435
unique_customers_roll_mean_3m,0.004345078182113137,0.0022850393,0.15343795947879152,1,0.2900170192365256
ANBP_value_roll_sum_6m,0.004016120003092128,0.0038598217,0.08003005842239291,1,0.27197650003312385
unique_customers_trend_15_days_21_days,0.00606386524826877,0.0030122711,0.06808998238821935,1,0.26929152969220205
new_policy_count_roll_mean_12m,0.0037580004806475257,0.00485876,0.031914725066787906,1,0.26013287142765584
unique_proposals_last_21_days,0.01655464238898384,0.0034452118,0.7291007594724844,0,0.18727515341485523
unique_customers_roll_median_6m,0.012667008973410524,0.0023478025,0.5280793440561665,0,0.13577353888501553
months_with_company,0.0050265065354180415,0.00201919,0.4768051287617847,0,0.1209627063234619
new_policy_count_lag_2,0.004766661123572889,0.0035909824,0.44734051421941634,0,0.11392453943758017
agent_age,0.009199386726997183,0.0028162585,0.42837846811953395,0,0.11009852832763492
months_since_first_sale,0.005868595601365637,0.0029623257,0.4284481492506919,0,0.10931976763792124
months_to_first_sale,0.012040514758737459,0.0039591184,0.3801279844354099,0,0.09903190439568514
net_income,0.00792798093338336,0.0033628615,0.3826186668369835,0,0.09847737730807607
ANBP_value_lag_3,0.010487531107631112,0.004525452,0.3688598484173463,0,0.095968207861476
unique_customers_lag_1,0.006590806731699992,0.0042879647,0.3609153390264016,0,0.0929485276056253
