number,value,datetime_start,datetime_complete,duration,params_cat_class_weight_0_cb,params_cat_depth,params_cat_iterations,params_cat_l2_leaf_reg,params_cat_learning_rate,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_scale_pos_weight,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_n_estimators,params_smote_k_neighbors,params_w_cat,params_w_lgbm,params_w_rf,params_w_xgb,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_scale_pos_weight,state
57,0.0,2025-05-07 23:05:16.644889,2025-05-07 23:05:36.225475,0 days 00:00:19.580586,6.117692661243065,10,75,3.2554636900468843,0.026002886083690512,0.9415316788871068,0.06196659509842489,8,50,21,0.0001100896266563293,0.002443598484351391,4.935784863528783,14,8,125,1,0.9475460872355399,0.8571108634607645,0.7076262473786359,1.4765115033287088,0.03846362270403124,7,175,4.704138574080028,COMPLETE
58,0.517923344849947,2025-05-07 23:05:36.225654,2025-05-07 23:06:02.403928,0 days 00:00:26.178274,5.798080199673047,9,125,1.7074029037343248,0.009949302052809922,0.7166290620213204,0.10677782958641975,6,75,149,0.0002710072438989607,0.023532182483994486,5.767258647698301,15,2,75,3,1.5065057068224958,1.530289591926488,1.776250983599709,1.2485394554109122,0.14816592984427093,8,100,1.9615034963266962,COMPLETE
59,0.5161414882048038,2025-05-07 23:06:02.404102,2025-05-07 23:06:22.279379,0 days 00:00:19.875277,6.303272863030927,10,50,1.0649448338049878,0.013483598569948444,0.8503318692446735,0.13101620570148337,10,75,16,0.17654804212459574,0.004119988030128469,5.353565499479245,11,10,100,5,1.0567702414506808,0.7208768319268057,1.9444992699361388,1.558892083070476,0.02869889677585252,9,150,1.0170799069842764,COMPLETE
60,0.5168954745792722,2025-05-07 23:06:22.279548,2025-05-07 23:06:37.554823,0 days 00:00:15.275275,5.187586267021159,7,175,3.62408950995504,0.005163898090620166,0.7807323941839774,0.030731613556072446,8,250,33,0.0006904228497574865,0.005858594000080505,4.4098489778198635,9,13,150,4,1.2902101716399719,0.3603304008560021,1.8599287227679864,1.9977897723145932,0.103159076037159,10,75,3.326459292816891,COMPLETE
61,0.5173639111253826,2025-05-07 23:06:37.554986,2025-05-07 23:07:00.357583,0 days 00:00:22.802597,2.3284629625098905,10,50,2.5480880091020985,0.11281442957445467,0.6638196798735525,0.0791320258055329,8,100,89,0.06627325149419584,0.0004674851510191639,0.8273995073178622,15,3,125,4,1.4006370796728735,0.46580871458229406,1.6999281672530304,1.7381847509637336,0.02065595414181036,7,150,1.8269533347194904,COMPLETE
62,0.5137870887568126,2025-05-07 23:07:00.357757,2025-05-07 23:07:13.131424,0 days 00:00:12.773667,6.708159210497286,10,50,1.3274591139140226,0.01730917177994072,0.5619485886423591,0.09503564072645485,9,100,121,0.001386287491833832,0.00013868838211182147,1.9424382125530082,15,4,125,4,1.3401753037796569,0.5377277461033658,1.5649752493643851,1.7248488146380987,0.01243791638663016,7,150,5.460520764071863,COMPLETE
63,0.5138283547941324,2025-05-07 23:07:13.131605,2025-05-07 23:07:30.332600,0 days 00:00:17.200995,4.179579112528744,10,100,1.59023671388077,0.07197428213010645,0.9064956464786106,0.09346218505327414,7,100,129,0.016667525396338825,0.00026526192877061644,0.8296016292128647,14,2,125,3,1.2056059690193517,1.0051635238244265,1.506775773933179,1.6817040102964458,0.07617726185977884,6,125,1.6028063292234307,COMPLETE
64,0.5171585113788729,2025-05-07 23:07:30.332770,2025-05-07 23:07:46.946795,0 days 00:00:16.614025,1.003130295423086,10,75,0.878113809790906,0.0884650530904505,0.5916797042460813,0.06681261500535435,8,125,105,0.034414864612382016,0.00018469701750482812,1.3171797803413787,15,3,150,4,1.4176553399949405,1.996652843977341,1.9983449767270263,1.4189333004097917,0.025496329783836993,8,125,2.1602235208853613,COMPLETE
65,0.5115761897665746,2025-05-07 23:07:46.946962,2025-05-07 23:07:57.331604,0 days 00:00:10.384642,1.367990994791533,9,50,1.155379523090624,0.03520924293936647,0.5294523183221367,0.05364948372789822,7,75,74,0.15406327408791654,0.0007950368516648253,2.4641520157229966,13,6,100,5,1.1859929399866396,0.809195471219079,1.6394097677916868,1.794528172327365,0.02186361311659594,7,150,0.8517192287528713,COMPLETE
66,0.5160305024092707,2025-05-07 23:07:57.331769,2025-05-07 23:08:11.012317,0 days 00:00:13.680548,2.8337023524525087,10,75,1.912183309806018,0.023641091710616405,0.97910846089935,0.038695584999101015,10,50,24,0.04954538169579954,0.0014309750326107161,6.268957318527671,14,11,125,5,1.1001880021329067,0.6469743277936202,1.766073519642871,1.136361207540967,0.015489620067482628,7,125,2.557118463055261,COMPLETE
67,0.516648403357711,2025-05-07 23:08:11.012484,2025-05-07 23:08:17.557953,0 days 00:00:06.545469,0.557013136449569,5,50,2.640610215980284,0.10571006149328899,0.632628065362687,0.07882057835112749,9,75,15,0.002864264490854753,0.0005882089409749079,0.5076964301053349,15,2,125,6,1.5283056967184232,1.838178841379958,1.8347019451244848,1.619885068739979,0.026726888982633097,6,150,1.3007465138194139,COMPLETE
68,0.5145770883924352,2025-05-07 23:08:17.558107,2025-05-07 23:08:31.267452,0 days 00:00:13.709345,5.923114202593668,8,150,3.0720926604960193,0.1294303651723413,0.5439218028223709,0.045364507124388984,8,125,52,0.42886681380284086,0.011427888332530986,1.7215869986813979,14,3,225,3,1.31548612876611,0.5747718933965216,1.9315739252489614,1.864630949404008,0.01858848614263103,5,250,2.9149162399331585,COMPLETE
69,0.5131946491961447,2025-05-07 23:08:31.267612,2025-05-07 23:08:44.061813,0 days 00:00:12.794201,3.729368516301008,6,100,2.2175467511795763,0.014893763131206229,0.6894180632552545,0.00672578980449091,7,50,31,0.022378904557604478,0.23092395432526783,0.9519768341953955,11,4,125,4,1.2445174003590618,0.17991986761466994,1.8449597118175498,0.5723775942773254,0.011183379065943905,8,150,1.4528762794070047,COMPLETE
70,0.5166690646865293,2025-05-07 23:08:44.061972,2025-05-07 23:09:12.582786,0 days 00:00:28.520814,6.467375456638726,9,75,1.5815313959183943,0.02843571647047386,0.5663138271643273,0.05771293496360958,9,125,142,0.004146431390447359,0.002824778247041334,3.675383737039283,12,2,100,7,1.7286502226159077,0.9145179025332139,1.671289791488551,0.822990964111016,0.03749819308493117,10,225,2.164733963449444,COMPLETE
71,0.5174659589464982,2025-05-07 23:09:12.582942,2025-05-07 23:09:27.834593,0 days 00:00:15.251651,5.689743237210291,9,125,1.684392225839917,0.010241180633765992,0.7146318116614159,0.11128582356664918,6,75,149,0.00026255450446008787,0.02004448448763235,5.358303723677078,15,2,50,3,1.4272726193899212,1.732493234854096,1.7588240112552058,1.2621740425527987,0.14794660769605358,8,100,1.7880177956405552,COMPLETE
72,0.0,2025-05-07 23:09:27.834775,2025-05-07 23:09:38.038434,0 days 00:00:10.203659,5.3690155877495025,8,125,1.3213209910015609,0.008932277700529912,0.6736758672477401,0.10539711919147116,5,75,138,0.00030033465381765337,0.06377621576367397,6.184942716133939,15,3,75,3,1.4680022014151115,1.3534375629045914,1.8884208500073925,0.9210404179111347,0.12499642119689805,8,75,1.910187478350703,COMPLETE
73,0.0,2025-05-07 23:09:38.038595,2025-05-07 23:09:58.415766,0 days 00:00:20.377171,5.885680034074935,10,125,1.819289681034066,0.012627484292659589,0.7302230508857626,0.1301894908604139,6,150,147,0.00023386634312941437,0.022424846654127757,5.7353933092224825,15,2,75,2,1.5310908144367439,1.5783063860615985,1.2346463551055582,1.224170496847034,0.10611114038746422,7,100,0.8782289987494154,COMPLETE
74,0.5158328597541494,2025-05-07 23:09:58.415931,2025-05-07 23:10:16.244086,0 days 00:00:17.828155,4.927100739031149,9,150,1.4896334895796997,0.007114581000127729,0.6152749048905651,0.07466244736590827,6,50,130,0.0005219872695123965,0.00036825141199701793,6.65725020477645,14,4,50,4,1.852061350993487,1.4610894978713054,1.787133079032098,1.7448741234734966,0.1302942991462163,9,125,2.054047088711668,COMPLETE
75,0.5156638950387659,2025-05-07 23:10:16.244253,2025-05-07 23:10:40.513275,0 days 00:00:24.269022,2.046519290711186,10,175,1.2086495821759846,0.14068759010864818,0.5910255573466423,0.02377620979268816,5,100,124,0.0001015234043359493,0.03112532710649866,4.933065736256731,14,3,175,2,1.4965801589006662,0.697801915530107,1.3706674073971996,1.6602656781841303,0.09738451376200868,7,100,1.1687811186021007,COMPLETE
76,0.5178969105649947,2025-05-07 23:10:40.513438,2025-05-07 23:11:00.688912,0 days 00:00:20.175474,3.1671798749386193,9,50,2.133670499708389,0.00616101640710957,0.6546807495428257,0.029800744721364413,10,100,10,0.0010809533105481277,0.00010174999222911962,1.3472558519744688,15,7,175,4,1.6245853198698246,0.7635444563851185,1.6094491445957584,1.0868353977219003,0.012807509249983442,9,175,0.7091577594495855,COMPLETE
77,0.5169489850686707,2025-05-07 23:11:00.689068,2025-05-07 23:11:15.610658,0 days 00:00:14.921590,5.716796752459233,10,75,1.0546608957253898,0.010103266174080382,0.8114744139734024,0.11971275735522888,7,75,22,0.08882667841666539,0.12816084629243882,0.7499887964648462,15,2,250,3,1.1454183755303773,0.483961296779972,1.9612199281812575,1.560695861525401,0.0171533223602333,8,50,3.0468129792926786,COMPLETE
78,0.519087536194429,2025-05-07 23:11:15.610938,2025-05-07 23:12:32.989232,0 days 00:01:17.378294,6.069779428332798,8,125,2.4038027757231033,0.09317879076551755,0.6375634875320952,0.06547341446180213,6,50,39,0.035007137874614166,1.439023130690209,4.645554858162472,13,10,225,5,0.9797108374293999,0.6179606206808996,1.726483312863768,1.2964522711456121,0.009254892763355506,10,125,2.2839194099391316,COMPLETE
79,0.517756693572784,2025-05-07 23:12:32.989393,2025-05-07 23:12:56.007743,0 days 00:00:23.018350,6.090912391828695,8,50,2.4614340124440797,0.07506711809482665,0.6387890053575307,0.06533311243822786,4,50,39,0.013377250659459558,1.2340499833886946,9.266054061708294,10,8,225,5,0.6870628636689371,0.403726607237262,1.9049447868834208,1.4463480729087799,0.007750504930482586,10,150,6.719307364487258,COMPLETE
80,0.5168755584572197,2025-05-07 23:12:56.007901,2025-05-07 23:13:18.412510,0 days 00:00:22.404609,5.4474837776645675,7,100,4.801900932299702,0.09553680740807927,0.6060403273905909,0.0481525246971064,8,50,38,0.03246530156107713,3.417491255817428,3.9540378619379,13,10,225,6,0.4208796039714838,0.6187244042271371,1.7267888229211947,1.0179054565383459,0.009227247821520922,10,125,2.3783842554390784,COMPLETE
81,0.5200152135498705,2025-05-07 23:13:18.412666,2025-05-07 23:13:37.874990,0 days 00:00:19.462324,6.314907975485424,8,125,2.7915675877145074,0.061703218341809134,0.7012456437658319,0.09631589873810151,6,75,30,0.007613420392339908,7.417274420476147,4.573821850879358,14,9,225,5,1.3511919772163987,0.8456671101804921,1.8039734293296568,1.3049447977945061,0.13667650303066992,10,125,1.9062810806058363,COMPLETE
82,0.5158220971864562,2025-05-07 23:13:37.875160,2025-05-07 23:13:52.966687,0 days 00:00:15.091527,6.90812454239212,8,150,3.075300486365464,0.05813517472152503,0.6249247456295803,0.035464201244748354,6,75,29,0.006430211090521469,7.331882890355839,4.553168704076207,13,9,200,5,0.14449000753392316,0.8097695545519853,1.8195623429094512,1.2983209923813077,0.13531905580870512,10,125,1.4771439803213426,COMPLETE
83,0.5173103011276826,2025-05-07 23:13:52.966845,2025-05-07 23:14:13.386678,0 days 00:00:20.419833,7.465836848070346,7,125,2.900636596057337,0.04371986268776405,0.6666022131345448,0.08621364664292387,5,50,27,0.00895295460308773,1.9298888225760262,1.0480228434110694,14,10,225,5,1.2403357341870334,0.855548480678258,1.8675967873019792,1.5237144640182965,0.006924634335745417,10,125,1.6634224809634868,COMPLETE
84,0.519582043442488,2025-05-07 23:14:13.386832,2025-05-07 23:14:37.298339,0 days 00:00:23.911507,6.545950364382492,8,100,3.6297650285835235,0.11789094919176041,0.6808263983189332,0.05896516228706873,7,75,44,0.025822755098185837,5.189428839527045,3.2985446427469434,14,11,250,5,0.9742100308035033,0.6890389194815214,1.9584775129469725,1.9419192405846941,0.009887850266763226,10,150,2.6565033295032334,COMPLETE
85,0.516979514619636,2025-05-07 23:14:37.298498,2025-05-07 23:14:57.984798,0 days 00:00:20.686300,7.273497652482918,8,100,4.167928935605521,0.11726029593212638,0.6906867562846927,0.05592645854010643,7,50,42,0.0022616634991362737,4.739572892656729,4.161906934112556,12,11,250,5,0.9522266626261499,0.7551143879105984,1.96588976198175,1.9479451649491455,0.010655676202103316,10,125,2.613121342065802,COMPLETE
86,0.5150691206016234,2025-05-07 23:14:57.984959,2025-05-07 23:15:22.224106,0 days 00:00:24.239147,6.559164852617622,8,125,3.687444117908454,0.08268148793344464,0.7486584356240191,0.05955567524523513,6,75,50,0.016731117863771176,0.5823856831546728,5.237726852151984,13,9,250,5,1.0886541152763747,0.6740113837184178,1.8809025829799977,1.330647992077713,0.005925780879103422,10,150,3.4773272503950965,COMPLETE
87,0.0,2025-05-07 23:15:22.224264,2025-05-07 23:15:40.430813,0 days 00:00:18.206549,6.241385096194284,7,100,2.681730307547054,0.13508180621829247,0.6501555252944151,0.04172911680057185,7,50,34,0.023689794021759334,2.4593227864622085,3.2291495357833364,14,10,200,6,0.9917679410710789,1.004360910939648,0.4812070799392131,1.1795531332789468,0.009603891116234865,10,125,4.04213120035651,COMPLETE
88,0.5188593532756508,2025-05-07 23:15:40.430970,2025-05-07 23:16:05.167844,0 days 00:00:24.736874,7.71383574209025,8,125,3.2434240723581707,0.06437538501192556,0.6978653236922403,0.0915897090398764,6,175,57,0.004551004082903583,6.604379235477661,4.5804207247607005,13,12,250,5,1.1382992460936845,0.9088119044859242,1.9484440746912604,1.401558238389628,0.008116817278307034,10,150,1.1006131546790365,COMPLETE
89,0.5184086988626851,2025-05-07 23:16:05.168004,2025-05-07 23:16:32.921533,0 days 00:00:27.753529,6.866444844878298,8,125,3.9352957420597554,0.06514579902850526,0.6975820812595543,0.09483398386006213,6,200,46,0.006089683174892124,5.513689971177146,5.532228503458166,13,12,250,5,0.8853211130002545,1.0971807722902742,1.9661491280746892,1.4104286313909302,0.007740900293685955,10,175,1.1564638547218102,COMPLETE
